Kritik dan saran,translated,clean_text
"Kalau semua data sudah disampaikan mahasiswa sejak pendaftaran, tapi diakhir akan lulus tetap meminta data lagi, semestinya kalau datanya sudah valid","If a student has submitted all the data since registration, but at the end of graduation they still ask for more data, it should be if the data is valid","if a student has submitted all the data since registration, but at the end of graduation they still ask for more data, it should be if the data is valid"
"web sering DOWN, gonta ganti password dan harus minta ke IT, sejujurnya ribet dan membuang waktu. saya sendiri tidak punya solusi untuk ini, pengetahuan saya kurang.

sistem adm mulai dr KHS, KRS, bayar dll rumit dan menyita waktu. Terlalu banyak prasyarat.","The website often goes DOWN, changes passwords and has to ask IT, to be honest, it's complicated and a waste of time. I don't have a solution for this myself, my knowledge is lacking.

The admin system starting from KHS, KRS, pay etc. is complicated and time consuming. Too many prerequisites.","the website often goes down, changes passwords and has to ask it, to be honest, it's complicated and a waste of time. i don't have a solution for this myself, my knowledge is lacking.

the admin system starting from khs, krs, pay etc. is complicated and time consuming. too many prerequisites."
"Saya senang dengan pelayanan BAA, namun akan lebih baik jika ada denah meja, nama beserta jabatan sehingga ketika kami kesana tidak terlihat seperti orang binggung dan mau bertanya pun terkadanng takut menganggu petugas yang ada dan mendapatkan respon yang kurang friendly. Maaf jika saya ada yang salah atau kurang paham mengenai denah ini.","I am happy with BAA's service, but it would be better if there was a table plan, names and positions so that when we went there we didn't look like people were confused and wanted to ask questions, sometimes they were afraid of disturbing the staff and getting a less than friendly response. Sorry if I have something wrong or don't understand this floor plan.","i am happy with baa's service, but it would be better if there was a table plan, names and positions so that when we went there we didn't look like people were confused and wanted to ask questions, sometimes they were afraid of disturbing the staff and getting a less than friendly response. sorry if i have something wrong or don't understand this floor plan."
"Ada keluhan kepada mahasiswa ""jika meminta layanan jangan pada saat mendekati UTS atau UAS"" padahal meskipun jadwal mendekati hari sibuk tapi bukan berarti mengeluhkan mahasiswa yang meminta layanan itu boleh yang mana memang tugas BAA kan sebagai biro layanan akademik.","There are complaints to students ""if you ask for services, don't do it when you are approaching UTS or UAS"" even though the schedule is approaching a busy day, that doesn't mean complaining about students requesting services is okay, which is BAA's job as an academic services bureau.","there are complaints to students ""if you ask for services, don't do it when you are approaching uts or uas"" even though the schedule is approaching a busy day, that doesn't mean complaining about students requesting services is okay, which is baa's job as an academic services bureau."
"Kadang kinerjanya karyawannya ""moody an"", jika dia tidak mood melayani mahasiswa hanya diacuhkan..Wifi di lingkungan kampus susah untuk mengkoneksi","Sometimes the employee's performance is ""moody"", if he is not in the mood to serve students he is just ignored...Wifi in the campus environment is difficult to connect","sometimes the employee's performance is ""moody"", if he is not in the mood to serve students he is just ignored...wifi in the campus environment is difficult to connect"
"Kurangnya keramahan dan kurang ketelitian dalam menghadapi mahasiswa untuk mengurus birokrasi"" sewaktu ada permasalahan nilai",Lack of friendliness and lack of thoroughness in dealing with students to deal with bureaucracy when there are grade problems,lack of friendliness and lack of thoroughness in dealing with students to deal with bureaucracy when there are grade problems
"Assalamualaikum
Untuk keluhan, mungkin jika antri aktivasi pembayaran terlalu banyak sehingga sering terjadi antri yang cukup panjang
Terimakasih
Wassalamualaikum","Assalamualaikum
For complaints, perhaps there are too many queues for payment activation so there are often quite long queues
Thank You
Wassalamualaikum","assalamualaikum
for complaints, perhaps there are too many queues for payment activation so there are often quite long queues
thank you
wassalamualaikum"
"Kurang adanya kepastian ""kapan jadi"" ketika pembuatan surat keterangan atau lainnya. Sebagai contoh adalah ketika pembuatan surat keterangan aktif kuliah. ","There is a lack of certainty about ""when it will happen"" when making certificates or other things. An example is when making a certificate of being active in college. ","there is a lack of certainty about ""when it will happen"" when making certificates or other things. an example is when making a certificate of being active in college. "
"Terima kasih kepada Staff BAA UMS karena telah membantu melayani akademik mahasiswa. Untuk masa yang akan datang, semoga petugas-petugasnya bisa lebih ramah lagi kepada mahasiswa. ","Thank you to the UMS BAA Staff for helping serve student academics. In the future, hopefully the officers can be even friendlier to students. ","thank you to the ums baa staff for helping serve student academics. in the future, hopefully the officers can be even friendlier to students. "
Prosedur layanan kurang jelas sehingga membuat layanan kurang cepat dan tepat. Minimnya petugas yang membantu membuat petugas temperamental dan kurang ramah saat mahasiswa minta pelayanan dan kejelasan.,"Service procedures are unclear, making service less fast and precise. The lack of officers to help makes officers temperamental and less friendly when students ask for service and clarity.","service procedures are unclear, making service less fast and precise. the lack of officers to help makes officers temperamental and less friendly when students ask for service and clarity."
"Menurut saya kurang profesional dalam melayani, karena terkadang tidak tepat waktu melayani setelah jam istirahat dan sangat kurang ramah","In my opinion, they are less professional in serving, because sometimes they are not on time to serve after break times and they are not very friendly","in my opinion, they are less professional in serving, because sometimes they are not on time to serve after break times and they are not very friendly"
pegawai BAA terkadang cetus dan kurang ramah. saya memaafkan karena mungkin terlalu banyak menghadapi mahasiswa yang kurang disiplin.,BAA employees are sometimes rude and unfriendly. I forgive you because maybe you have to deal with too many students who lack discipline.,baa employees are sometimes rude and unfriendly. i forgive you because maybe you have to deal with too many students who lack discipline.
"Memang tidak semua petugas Baa itu menyebalkan / tidak ramah, namun ada sebagian petugas Baa yang ketika melayani kami mahasiswa tidak dengan ramah dan membuat hati ini jengkel","It's true that not all Baa officers are annoying/unfriendly, but there are some Baa officers who when serving us students are not friendly and make my heart irritated.","it's true that not all baa officers are annoying/unfriendly, but there are some baa officers who when serving us students are not friendly and make my heart irritated."
"Informasi yang ada kurang familiar untuk diketahui mahasiswa, sehingga mahasiswa masih perlu bertanya kepada petugas. Beberapa petugas kurang punya respon yang baik ketika ditanya dan ketepatan waktu di tempat kerja kurang baik.  ","The information provided is not familiar to students, so students still need to ask the officers. Some officers do not respond well when asked and punctuality at work is not good.  ","the information provided is not familiar to students, so students still need to ask the officers. some officers do not respond well when asked and punctuality at work is not good.  "
waktu dan  proses pemberian nilai mahasiswa kurang memuaskan oleh karena masih mengalami gangguan sistem pemakaian dan juga nilainya terlambat dimasukin ke dalam sistemna. terimakasih,The time and process for giving student grades is less than satisfactory because the usage system still experiences problems and the grades are also entered into the system too late. Thank You,the time and process for giving student grades is less than satisfactory because the usage system still experiences problems and the grades are also entered into the system too late. thank you
"Pelayanan terhadap mahasiswa sangat tidak ramah, dan seringkali bergantung pada mood petugas.
Komunikasi pihak petugas akademik di Siti Walidah terhadap Fakultas Geografi khususnya kurang lancar, sehingga seringkali mahasiswa diombang-ambingkan","Service to students is very unfriendly, and often depends on the mood of the staff.
Communication between academic officers at Siti Walidah towards the Faculty of Geography in particular is not smooth, so that students are often swayed.","service to students is very unfriendly, and often depends on the mood of the staff.
communication between academic officers at siti walidah towards the faculty of geography in particular is not smooth, so that students are often swayed."
"Komunikasi antara TU Fakultas Geografi dengan BAA sangat rendah. Ketika mahasiswa ada kesulitan tentang transkrip nilai yang belum lengkap, pihak TU Fakultas Geografi menyarankan untuk mengurus ke BAA. Namun, sesampainya di BAA mahasiswa disarankan untuk mengurus ke TU Fakultas","Communication between TU Faculty of Geography and BAA is very low. When students have difficulties regarding incomplete transcripts, the TU Faculty of Geography suggests taking it to BAA. However, when they arrive at BAA, students are advised to go to the TU Faculty","communication between tu faculty of geography and baa is very low. when students have difficulties regarding incomplete transcripts, the tu faculty of geography suggests taking it to baa. however, when they arrive at baa, students are advised to go to the tu faculty"
"Sebaiknya dalam pelayanan, petugas harus lebih ramah dan saat penjelasan dalam prosedur harap lebih sabar karena kami mahasiswa perlu bantuan dengan tepat dan cepat, kami meminta bantuan layanan bukan bermaksud untuk mengganggu petugas yang sedang melakukan kegiatan lain (selain melayani mahasiswa)","It would be better if in service, officers should be friendlier and when explaining procedures, please be more patient because we students need help appropriately and quickly, we ask for service assistance without the intention of disturbing officers who are carrying out other activities (apart from serving students)","it would be better if in service, officers should be friendlier and when explaining procedures, please be more patient because we students need help appropriately and quickly, we ask for service assistance without the intention of disturbing officers who are carrying out other activities (apart from serving students)"
"BAA sebagai lembaga universitas seharusnya bisa lebih baik dalam peningkatan kualitas layanan terhadap mahasiswa, rata rata mahasiswa yg datang ke BAA akan dibuat kesulitan oleh birokrasi dan pelayanan petugas, belum lagi petugas yang terkesan tidak ramah atau hanya memasang wajah datar. Akreditasi UMS yg seharusnya jadi tolak ukur seperti tidak tercermin di BAA. Terimakasih","BAA as a university institution should be better at improving the quality of service to students. The average student who comes to BAA will be made difficult by bureaucracy and service from officers, not to mention officers who seem unfriendly or just put on a straight face. UMS accreditation, which should be a benchmark, is not reflected in the BAA. Thank You","baa as a university institution should be better at improving the quality of service to students. the average student who comes to baa will be made difficult by bureaucracy and service from officers, not to mention officers who seem unfriendly or just put on a straight face. ums accreditation, which should be a benchmark, is not reflected in the baa. thank you"
"kurang jelasnya papan nama di setiap meja untuk mengetahui jika mahasiswa membutuhkan sesuatu. Misalnya jika mahasiswa ingin mencetak transkrip, ingin membuat surat pernyataan mahasiswa aktif dll sehingga mengetahui ia harus melangkah ke meja mana.","lack of clear nameplates at each table to know if students need something. For example, if a student wants to print a transcript, wants to make an active student statement, etc. so he knows which table to go to.","lack of clear nameplates at each table to know if students need something. for example, if a student wants to print a transcript, wants to make an active student statement, etc. so he knows which table to go to."
permasalahan saat ingin mengambil surat keterangan masih kuliah terkadang orang tua memimta secara mendadak dan segera butuh cepat tetapi pihak BAA memiliki standar surat jadi 3 hari kerja sedangkan orang tua butuh buru-buru untuk memperoleh gaji,"The problem is when you want to take a certificate of still studying, sometimes parents ask for it suddenly and need it quickly but BAA has a standard letter so it takes 3 working days while parents need to hurry to get their salary.","the problem is when you want to take a certificate of still studying, sometimes parents ask for it suddenly and need it quickly but baa has a standard letter so it takes 3 working days while parents need to hurry to get their salary."
"1) sistem yang terdapat di UMS masih belum jelas, masih banyak info2 yang diberikan kepada mahasiswanya simpang siur terutama dalam hal administrasi. 
2) terdapat petugas perpustakaan yang melayani mahasiswanya dengan tidak ramah, dan terkesan males mengecek satu2 draft skripsi yang diunggah.
3) terdapat ketidaksamaan informasi oleh  petugas dalam hal format unggahan, dan terkesan berbeda2","1) The system at UMS is still unclear, there is still a lot of information given to students that is confusing, especially in terms of administration. 
2) there are librarians who serve their students unfriendly, and seem lazy about checking the uploaded thesis drafts.
3) there are discrepancies in the information provided by officers in terms of upload formats, and they appear to be different","1) the system at ums is still unclear, there is still a lot of information given to students that is confusing, especially in terms of administration. 
2) there are librarians who serve their students unfriendly, and seem lazy about checking the uploaded thesis drafts.
3) there are discrepancies in the information provided by officers in terms of upload formats, and they appear to be different"
"1.Ada beberapa staff BAA yang terlambat datang pada saat jam pelayanan mahasiswa 
2. Ada beberapa staff yang tidak menunjukan tampilan kerja yg optimal
3. Pengelolaan sistem administrasi akademik di UMS masih Tersentralisasi di BAA sehingga banyak mahasiswa yang mengantri karena fasilitas seperti jumlah komputer yg disediakan untuk mahasiswa terlalu sedikit  yang menyebabkan tidak efisiensi waktu","1. There are several BAA staff who arrive late during student service hours 
2. There are several staff who do not show optimal work performance
3. The management of the academic administration system at UMS is still centralized at BAA so that many students queue because facilities such as the number of computers provided for students are too few which causes time inefficiency.","1. there are several baa staff who arrive late during student service hours 
2. there are several staff who do not show optimal work performance
3. the management of the academic administration system at ums is still centralized at baa so that many students queue because facilities such as the number of computers provided for students are too few which causes time inefficiency."
"Saya mengambil sebuah revisi krs secara reguler, setelah khs keluar di web star ums, tetapi dihari selanjutnya belum masuk ketranskip/perkembangan studi web. sedangkan nilai nilai mata kuliah yang baru saya ambil langsung keluar ditranskip..
Kebijakan di BAA harus kembalike TU yang memasukkan nilai terus dari Fakutas saya harus mengajukan surat pengaduan nilai, jelas jelas saya ngambil secara reguler tidak merevisi nilai ujian saya..
seharusnya ketika saya ke BAA langsung bisa dimasukan ketranskip nilai saya, jelas jelas itu sudah masuk nilai KHS diWeb Star Ums. posisi saya sedang pemberkasan wisuda..","I took a regular KRS revision, after the KRS came out on the Star UMS web, but the next day it wasn't included in the transcript/web study development. Meanwhile, the grades for the courses I just took were immediately transcribed.
The policy at BAA must be returned to TU which includes grades directly from the Faculty. I have to submit a grade complaint letter, obviously I took it regularly and did not revise my exam grades..
When I went to BAA it should have been immediately entered into the transcript of my grades, clearly it was already included in the KHS grades on Web Star Ums. My position is currently completing graduation...","i took a regular krs revision, after the krs came out on the star ums web, but the next day it wasn't included in the transcript/web study development. meanwhile, the grades for the courses i just took were immediately transcribed.
the policy at baa must be returned to tu which includes grades directly from the faculty. i have to submit a grade complaint letter, obviously i took it regularly and did not revise my exam grades..
when i went to baa it should have been immediately entered into the transcript of my grades, clearly it was already included in the khs grades on web star ums. my position is currently completing graduation..."
Sering membingungkan mahasiswa apabila mencari informasi dari petugas sehingga mahasiswa menjadi malas berurusan dengan BAA.,It often confuses students when looking for information from officers so that students become lazy in dealing with BAA.,it often confuses students when looking for information from officers so that students become lazy in dealing with baa.
"tidak ada informasi/pemberitahuan dari petugas jika surat"" keperluan sudah jadi oleh karena itu tidak membingungkan MHS untuk menunggu kepastian dr petugas ","There is no information/notification from the officer if the letter of need has been completed, therefore it does not confuse MHS to wait for confirmation from the officer ","there is no information/notification from the officer if the letter of need has been completed, therefore it does not confuse mhs to wait for confirmation from the officer "
"Ada beberapa petugas yang kurang ramah dalam menjawab pertanyaan mahasiswa, sedangkan mahasiswa bertanya karena benar-benar belum paham.","There are some officers who are not friendly in answering students' questions, while students ask questions because they really don't understand.","there are some officers who are not friendly in answering students' questions, while students ask questions because they really don't understand."
selama saya kuliah di UMS kinerja pelayanan akademik di BAA UMS sudah cukup bagus dan mungkin tidak ada keluhan yang saya rasakan,"While I was studying at UMS, the performance of academic services at BAA UMS was quite good and I probably don't have any complaints","while i was studying at ums, the performance of academic services at baa ums was quite good and i probably don't have any complaints"
"Petugas BAA kurang remah terhadap mahasiswa, selalu memasang muka yang kurang enak dilihat dan seakan akan mereka dengan terpaksa melayani mahasiswa. mereka juga tidak menjelaskan dengan baik apabila ada mahasiswa yang ingin mengurus nilai.","BAA officers are not friendly towards students, always put on an unsightly face and it seems as if they are forced to serve students. they also don't explain well if there are students who want to take care of their grades.","baa officers are not friendly towards students, always put on an unsightly face and it seems as if they are forced to serve students. they also don't explain well if there are students who want to take care of their grades."
"sejauh ini saya puas terhadap kinerja dari BAA UMS, sedikit tambahan tolong ditingkatkan dalam hal keramah-tamahan supaya kita bisa berinteraksi dengan baik (Respect)","So far I am satisfied with the performance of BAA UMS, please improve a little extra in terms of hospitality so that we can interact well (Respect)","so far i am satisfied with the performance of baa ums, please improve a little extra in terms of hospitality so that we can interact well (respect)"
Informasi tentang sistem baru atau prosedur seperti mata kuliah life skill dan poin nya kurang merata di setiap fakultas,Information about new systems or procedures such as life skills courses and points is not evenly distributed in each faculty,information about new systems or procedures such as life skills courses and points is not evenly distributed in each faculty
menurut informasi pendafraran wisuda dari TU melalui https://ajt.ums.ac.id tapi gak bisa. setelah tanya temen ternyata lewat https://wisuda.ums.ac.id,According to the graduation registration information from TU via https://ajt.ums.ac.id but it doesn't work. after asking a friend it turned out via https://wisuda.ums.ac.id,according to the graduation registration information from tu via https://ajt.ums.ac.id but it doesn't work. after asking a friend it turned out via https://wisuda.ums.ac.id
"sudah sangat bagus untuk sekarang, tetapi diwaktu waktu tertentu apalagi mendekati waktu wisuda sering terjadi masalah baik secara online atau penumpukan mahasiswa yang mengurus hal yang sama","it's very good for now, but at certain times, especially closer to graduation, problems often occur either online or with a buildup of students taking care of the same thing.","it's very good for now, but at certain times, especially closer to graduation, problems often occur either online or with a buildup of students taking care of the same thing."
"Pelayanan akademik mahasiswa mohon dipermudah dan tidak diperibet. untuk WEB mohon diperbaiki, KRSan sering down dan kesalahan input sehingga menyusahkan mahasiswa. Jadwal dosen dan mata kuliah tidak dapat diakses di AJT, sekarang mahasiswa bingung untuk mengetahui jadwal dosen. mohon ada sosialisasi sebelum mengeluarkan kebijakan, dan sinkronisasi dengan biro/fakultas lainnya. terima kasih","Please make student academic services easier and not complicated. Please fix the WEB, KRSan often goes down and input errors make it difficult for students. Lecturer and course schedules cannot be accessed on AJT, now students are confused about knowing the lecturer's schedule. Please provide socialization before issuing policies, and synchronize with other bureaus/faculties. Thank You","please make student academic services easier and not complicated. please fix the web, krsan often goes down and input errors make it difficult for students. lecturer and course schedules cannot be accessed on ajt, now students are confused about knowing the lecturer's schedule. please provide socialization before issuing policies, and synchronize with other bureaus/faculties. thank you"
"1.petugas kurang ramah
2.pengarahan yang kurang jelas
3. kurang melayani dengan baik
4. cetak transkrip kenapa hanya 2? harusnya bisa lebih banyak","1. The staff is not friendly
2. unclear directions
3. Not serving well
4. Print transcripts, why only 2? there should be more","1. the staff is not friendly
2. unclear directions
3. not serving well
4. print transcripts, why only 2? there should be more"
keramahan petugas dalam memberikan pelayanan kepada mahasiswa kurang kemudian dalam berkomunikasi kepada mahasiswa juga kurang sehingga membuat mahasiswa tidak nyaman,"The staff's friendliness in providing services to students is lacking, and communication with students is also lacking, making students uncomfortable","the staff's friendliness in providing services to students is lacking, and communication with students is also lacking, making students uncomfortable"
"Terkadang petugas terlalu bersemangat untuk membantu mahasiswa mengeprint transkip nilai, jadi niat mahasiswa hanya mengecek nilai apakah sudah keluar atau belum, tapi belum di cek sudah diprint dahulu kan sayang kertasnya","Sometimes officers are too eager to help students print grade transcripts, so the student's only intention is to check whether the grades have come out or not, but they haven't checked whether they've been printed first, it's a shame the paper","sometimes officers are too eager to help students print grade transcripts, so the student's only intention is to check whether the grades have come out or not, but they haven't checked whether they've been printed first, it's a shame the paper"
"Kurang menjalankan tugas atau kewajiban karena pelayanan sangat tidak ramah, tidak murah senyum, kurangnya komunikasi yang baik antar komponen terkadang juga kurangnya informasi atau sosialiasi mengenai aturan baru yang telah dibuat sehingga membingungkan mahasiswa","Lack of carrying out duties or obligations because the service is very unfriendly, not smiling, lack of good communication between components, sometimes there is also a lack of information or socialization regarding new rules that have been made, which confuses students.","lack of carrying out duties or obligations because the service is very unfriendly, not smiling, lack of good communication between components, sometimes there is also a lack of information or socialization regarding new rules that have been made, which confuses students."
"Ketika petugas utama tidak ada mahasiswa harus menunggu petugas yang bersangkutan hingga ada, sehingga dalam melayani mahasiswa sangat terhambat.","When the main officer is not there, students have to wait for the officer concerned to be there, so serving students is very hampered.","when the main officer is not there, students have to wait for the officer concerned to be there, so serving students is very hampered."
Petugas tidak ramah sama mahasiswa dan tidak menguasai posisi jabatanya. Saya merupakan mahasiswa program fast track angkatan 2015 tp ketika mau ngurus untuk kuliah s2 BAA sendiri tidak tau tentang prodi itu klo gt ngapain dl di buka pendaftaran yg program fast track,"Officers are not friendly towards students and do not control their positions. I am a student of the fast track program class of 2015 but when I wanted to take care of my BAA graduate studies, I didn't know about the study program, so what to do when registration was open for the fast track program","officers are not friendly towards students and do not control their positions. i am a student of the fast track program class of 2015 but when i wanted to take care of my baa graduate studies, i didn't know about the study program, so what to do when registration was open for the fast track program"
Pelayanan dari petugas BAA sangat tidak ramah. Petugas tidak pernah senyum saat melayani dan selalu membuat mahasiswa ndongkol. Informasi yang diberikan tidak jelas sehingga bingung harus muter-muter kesana kemari.,The service from BAA officers was very unfriendly. The officers never smile when serving and always make students cranky. The information provided is not clear so it is confusing to have to wander here and there.,the service from baa officers was very unfriendly. the officers never smile when serving and always make students cranky. the information provided is not clear so it is confusing to have to wander here and there.
"pelayanan akademik di BAA UMS sudah sangat baik, akan tetapi terkadang kejelasan informasi yang terima mahasiswa masih kurang jelas dan tidak tersebar begitu cepat.","Academic services at BAA UMS are very good, but sometimes the clarity of the information that students receive is still unclear and not spread very quickly.","academic services at baa ums are very good, but sometimes the clarity of the information that students receive is still unclear and not spread very quickly."
Proses Wisuda terlalu banyak syarat dan ketentuan kalau bisa lebih di peramping atau dibutuhkan Syarat-Syarat yang lebih efisien,The Graduation Process has too many terms and conditions if it could be streamlined or require more efficient terms,the graduation process has too many terms and conditions if it could be streamlined or require more efficient terms
"1. Beberapa pegawai enggan untuk ditanyai.
2. Beberapa pegawai membuka yutub atau main hp didepan mahasiswa. 
3. Pintu BAA sering telat dibuka sesuai jadwal. Padahal ada pegawainya didalam dan sedang tidak waktu istirahat.1.","1. Some employees are reluctant to be questioned.
2. Some employees open YouTube or play on cellphones in front of students. 
3. BAA doors are often opened late according to schedule. Even though there are employees inside and they don't have a break. 1.","1. some employees are reluctant to be questioned.
2. some employees open youtube or play on cellphones in front of students. 
3. baa doors are often opened late according to schedule. even though there are employees inside and they don't have a break. 1."
"Tolong saat ada kesalahan pengisian pengajuan layanan BAA diinformasikan lewat email/ no hp/ keterangan webnya agar tidak perlu bolak-balik BAA/ menunggu lama ternyata tidak diproses, karena pernah menunggu lama ternyata data yg saya masukkan salah & saya baru tahu setelah mendatangi BAA secara langsung.","Please, if there is an error in filling out the BAA service application, you will be informed via email/cell phone number/web information so that you don't have to go back and forth to BAA/wait for a long time and it turns out it wasn't processed, because I waited a long time, it turned out that the data I entered was wrong & I only found out after visiting BAA directly .","please, if there is an error in filling out the baa service application, you will be informed via email/cell phone number/web information so that you don't have to go back and forth to baa/wait for a long time and it turns out it wasn't processed, because i waited a long time, it turned out that the data i entered was wrong & i only found out after visiting baa directly ."
"Pelayanan tidak ramah, dan beberapa kali teman saya ada yg dibentak. Sebagai social service seharusnya melayani dengan ramah dan santun, tidak dengan bentak bentak. Kalau capek ya namanya juga kerja, jangan jadikan alasan untuk membentak mahasiswa dan membuat layanan jadi buruk.","The service was not friendly, and several times my friend was shouted at. As a social service, we should serve in a friendly and polite manner, not by shouting. If you're tired, that's also work, don't use it as an excuse to yell at students and make service worse.","the service was not friendly, and several times my friend was shouted at. as a social service, we should serve in a friendly and polite manner, not by shouting. if you're tired, that's also work, don't use it as an excuse to yell at students and make service worse."
